iata,year,passengers,seats,flights
RSW,2022,4944942,5893444,40927
RSW,2023,5167464,6076141,42195
RSW,2024,5400000,6264501,43503
JAX,2022,3353339,4032588,31020
JAX,2023,3484119,4173729,32106
JAX,2024,3620000,4319809,33229
SAV,2022,1566411,1934980,15860
SAV,2023,1669794,2020119,16558
SAV,2024,1780000,2109005,17287
ORD,2022,36666981,44097184,312746
ORD,2023,37766990,45243711,320877
ORD,2024,38900000,46420048,329220
MDW,2022,9860353,11727997,79243
MDW,2023,10126582,11986013,80987
MDW,2024,10400000,12249706,82768
DTW,2022,13978194,16655078,126175
DTW,2023,14285714,17054800,129203
DTW,2024,14600000,17464115,132304
MSP,2022,16593933,19857998,153938
MSP,2023,16992188,20354448,157786
MSP,2024,17400000,20863309,161731
STL,2022,6472338,7761902,58360
STL,2023,6634146,7979235,59994
STL,2024,6800000,8202654,61674
MCI,2022,5331308,6314346,48572
MCI,2023,5512573,6573234,50563
MCI,2024,5700000,6842737,52636
CLE,2022,4636709,5584909,44325
CLE,2023,4766537,5752457,45654
CLE,2024,4900000,5925030,47024
CVG,2022,4139380,5031046,39305
CVG,2023,4267701,5202102,40641
CVG,2024,4400000,5378973,42023
IND,2022,4472205,5392120,43485
IND,2023,4633205,5580844,45007
IND,2024,4800000,5776173,46582
DFW,2022,38405085,46227811,334984
DFW,2023,40210124,48076923,348384
DFW,2024,42100000,50000000,362319
DAL,2022,8106325,9714476,58876
DAL,2023,8349515,9850479,59700
DAL,2024,8600000,9988386,60536
IAH,2022,20762568,25075912,177843
IAH,2023,21613833,25978644,184246
IAH,2024,22500000,26913876,190879
HOU,2022,7001330,8375360,55101
HOU,2023,7246377,8576369,56423
HOU,2024,7500000,8782201,57778
AUS,2022,9623087,11756680,84580
AUS,2023,10335196,12332758,88725
AUS,2024,11100000,12937063,93072
MSY,2022,5529061,6626533,50201
MSY,2023,5711520,6838582,51807
MSY,2024,5900000,7057416,53465
SAT,2022,4825622,5804228,46065
SAT,2023,5057252,6048005,48000
SAT,2024,5300000,6302021,50016
DEN,2022,37318018,44651295,316676
DEN,2023,39258555,46660603,330926
DEN,2024,41300000,48760331,345818
PHX,2022,23295874,27782795,194285
PHX,2023,24181118,28727410,200891
PHX,2024,25100000,29704142,207721
LAS,2022,26646890,31505519,199402
LAS,2023,27606178,32387674,204985
LAS,2024,28600000,33294529,210725
SLC,2022,13512905,16129462,122193
SLC,2023,14093960,16790770,127203
SLC,2024,14700000,17479191,132418
ABQ,2022,2616068,3147256,24588
ABQ,2023,2691934,3244821,25350
ABQ,2024,2770000,3345411,26136
BOI,2022,2019004,2470621,18860
BOI,2023,2136106,2564504,19576
BOI,2024,2260000,2661955,20320
RNO,2022,2050875,2443709,18374
RNO,2023,2114452,2524352,18980
RNO,2024,2180000,2607656,19606
LAX,2022,36313656,43207885,270049
LAX,2023,37439379,44374498,277341
LAX,2024,38600000,45572609,284829
SFO,2022,21901107,26435233,171657
SFO,2023,22974261,27201855,176635
SFO,2024,24100000,27990708,181758
SAN,2022,11420530,13622598,95263
SAN,2023,11900192,14031276,98121
SAN,2024,12400000,14452214,101064
SNA,2022,5398799,6376919,43087
SNA,2023,5522972,6427934,43432
SNA,2024,5650000,6479358,43779
SJC,2022,5237776,6225293,44151
SJC,2023,5415861,6430728,45608
SJC,2024,5600000,6642942,47113
OAK,2022,5034788,5939452,40131
OAK,2023,5165692,6081999,41095
OAK,2024,5300000,6227967,42081
SMF,2022,5824704,6946473,50337
SMF,2023,6057692,7196546,52149
SMF,2024,6300000,7455621,54026
ONT,2022,2964893,3588051,25447
ONT,2023,3127962,3756689,26643
ONT,2024,3300000,3933254,27895
BUR,2022,2882731,3474053,25358
BUR,2023,2989392,3547008,25891
BUR,2024,3100000,3621495,26434
PDX,2022,9048921,10751638,80839
PDX,2023,9320388,11084938,83345
PDX,2024,9600000,11428571,85929
SEA,2022,23395869,28112510,189949
SEA,2023,24425287,28955885,195648
SEA,2024,25500000,29824561,201517
PSP,2022,1463806,1760025,13135
PSP,2023,1539924,1830426,13660
PSP,2024,1620000,1903643,14206
ANC,2022,2552099,3265102,25311
ANC,2023,2600589,3349995,25969
ANC,2024,2650000,3437095,26644
FAI,2022,582879,757510,6645
FAI,2023,596285,778721,6831
FAI,2024,610000,800525,7022
HNL,2022,9978145,11909817,70892
HNL,2023,10137795,12171833,72451
HNL,2024,10300000,12439614,74045
OGG,2022,3619924,4277681,27074
OGG,2023,3659743,4358957,27588
OGG,2024,3700000,4441777,28113
