origin,destination,distance_miles,departures_performed,seats,passengers
JFK,ORD,738.2,10454,1615762,1350777
JFK,LAS,2242.7,9458,1461833,1222092
JFK,SEA,2415.0,8648,1336607,1117403
JFK,LHR,3442.4,4386,1142159,954845
JFK,CDG,3624.8,4073,1060733,886773
JFK,AMS,3633.5,3806,990965,828447
JFK,FRA,3845.4,3573,930468,777871
JFK,MAD,3580.4,3370,877471,733566
JFK,FCO,4266.1,3190,830631,694408
JFK,DXB,6836.0,3030,788912,659531
JFK,NRT,6729.1,2886,751499,628254
JFK,ICN,6890.9,2756,717744,600034
JFK,TLV,5665.0,2639,687124,574435
JFK,GRU,4762.3,2532,659210,551100
JFK,DEL,7304.4,2433,633652,529733
EWR,ORD,717.2,48959,6846437,5833165
EWR,MCO,938.4,27162,3798299,3236151
EWR,FLL,1066.3,19243,2690987,2292721
EWR,ATL,744.6,15069,2107238,1795367
EWR,LAX,2448.6,12465,1743172,1485182
EWR,SFO,2559.0,5872,1383384,1178643
EWR,BOS,200.5,9365,1309578,1115760
EWR,DEN,1600.8,8360,1169064,996042
EWR,IAH,1397.6,7564,1057690,901152
EWR,SEA,2395.1,6916,967085,823956
EWR,LHR,3456.5,3508,826394,704088
EWR,CDG,3639.5,3258,767480,653893
EWR,FRA,3859.3,3043,717000,610884
EWR,MUC,4041.1,2858,673228,573591
EWR,AMS,3647.0,2695,634883,540920
EWR,DUB,3184.6,2551,600993,512046
EWR,NRT,6716.5,2423,570807,486328
EWR,HKG,8053.1,2308,543738,463265
EWR,DEL,7310.6,2204,519315,442456
EWR,GRU,4774.7,2110,497159,423580
EWR,TLV,5679.9,2024,476963,406373
LGA,ORD,731.4,42272,5016891,4249306
LGA,ATL,760.8,23452,2783294,2357450
LGA,MIA,1098.5,16615,1971885,1670186
LGA,CLT,543.7,13011,1544129,1307877
LGA,DTW,500.4,10763,1277351,1081916
LGA,MCO,951.1,9218,1093972,926594
LGA,BOS,184.3,8086,959624,812802
LGA,DFW,1386.4,7218,856659,725590
LGA,DEN,1615.5,6531,775048,656465
LGA,MSP,1017.8,5971,708655,600230
LGA,YYZ,355.9,5506,653508,553521
LGA,YUL,324.4,5114,606919,514060
PHL,ATL,665.6,40527,4623305,3828097
PHL,ORD,676.2,22484,2564939,2123770
PHL,BOS,279.6,15929,1817186,1504630
PHL,MCO,862.7,12474,1422989,1178235
PHL,CLT,448.4,10319,1177140,974672
PHL,DFW,1300.4,8837,1008147,834746
PHL,LAX,2396.1,7752,884340,732233
PHL,DEN,1553.6,6920,789453,653667
PHL,FLL,994.5,6261,714244,591394
PHL,LHR,3535.9,3149,605145,501060
PHL,CDG,3718.4,2904,558053,462068
PHL,FRA,3938.7,2697,518269,429127
PHL,DUB,3264.0,2519,484180,400901
PHL,CUN,1471.3,4301,490618,406232
BWI,ATL,576.1,32226,4091351,3440826
BWI,MCO,788.4,17878,2269819,1908918
BWI,BOS,369.0,12666,1608102,1352414
BWI,FLL,927.4,9919,1259261,1059038
BWI,ORD,620.2,8205,1041699,876069
BWI,DEN,1487.4,7027,892151,750299
BWI,LAS,2100.9,6164,782588,658157
BWI,TPA,843.8,5503,698619,587538
BWI,DFW,1214.7,4978,632063,531565
BWI,LAX,2323.9,4552,577919,486030
BWI,CUN,1391.6,4198,532946,448207
BWI,LHR,3625.0,2144,458637,385714
DCA,ATL,546.5,34312,3851196,3296624
DCA,ORD,610.5,19036,2136585,1828917
DCA,BOS,398.6,13486,1513710,1295735
DCA,MCO,760.4,10561,1185345,1014655
DCA,DFW,1189.8,8736,980553,839354
DCA,CLT,331.0,7482,839783,718854
DCA,DEN,1472.1,6563,736652,630574
DCA,LAX,2305.8,5859,657611,562915
DCA,MIA,921.6,5301,594962,509288
DCA,MSP,928.9,4847,543996,465661
DCA,YYZ,359.4,4470,501663,429423
IAD,ORD,587.2,25864,3759641,3086665
IAD,ATL,533.9,14349,2085792,1712435
IAD,DFW,1169.9,10166,1477724,1213211
IAD,LAX,2282.9,7961,1157165,950033
IAD,SFO,2413.0,6585,957242,785896
IAD,DEN,1448.8,5640,819819,673071
IAD,BOS,411.8,4947,719139,590413
IAD,MCO,759.7,4416,641978,527064
IAD,LHR,3667.2,2198,538204,441865
IAD,CDG,3850.6,2009,492100,404014
IAD,FRA,4069.5,1853,453805,372574
IAD,MUC,4251.7,1721,421453,346013
IAD,AMS,3856.7,1608,393732,323254
IAD,DXB,7055.5,1510,369695,303520
IAD,DOH,6914.1,1424,348639,286232
IAD,NRT,6737.4,1348,330028,270953
IAD,ICN,6942.9,1280,313452,257344
IAD,PVG,7437.7,1219,298587,245140
IAD,DEL,7492.4,1164,285176,234129
IAD,GRU,4753.5,1115,273009,224141
IAD,ADQ,3475.0,1069,261919,215035
ALB,ORD,721.3,4612,475174,392969
ALB,ATL,852.4,2558,263619,218013
ALB,CLT,646.2,1813,186767,154456
ALB,PHL,212.3,1419,146252,120950
ALB,DCA,318.0,1174,120984,100054
ALB,MCO,1074.2,1006,103615,85690
ALB,FLL,1206.6,882,90891,75167
ALB,DTW,487.9,787,81138,67101
BUF,ATL,712.5,7260,788151,654954
BUF,ORD,472.2,4028,437254,363358
BUF,CLT,546.8,2854,309782,257429
BUF,MCO,1012.7,2235,242582,201586
BUF,FLL,1168.1,1848,200671,166758
BUF,PHL,278.5,1583,171862,142818
BUF,DTW,240.4,1389,150757,125279
BUF,LAS,1981.8,1240,134581,111837
BUF,DEN,1355.8,1122,121760,101182
PIT,ORD,411.6,13980,1556299,1279278
PIT,ATL,526.6,7756,863411,709724
PIT,CLT,366.7,5495,611702,502819
PIT,PHL,266.8,4303,479007,393744
PIT,MCO,835.5,3560,396249,325717
PIT,DFW,1066.1,3049,339363,278956
PIT,DEN,1286.9,2674,297687,244699
PIT,LAX,2131.4,2387,265746,218443
PIT,FLL,996.2,2160,240429,197633
PIT,LHR,3710.2,1086,203704,167445
ATL,MCO,404.5,101090,13578378,11555200
ATL,DFW,730.0,56083,7533077,6410649
ATL,LGA,760.8,39733,5336971,4541762
ATL,FLL,582.1,31114,4179236,3556530
ATL,ORD,606.2,25738,3457191,2942070
ATL,DEN,1197.0,22043,2960870,2519700
ATL,LAX,1942.3,19336,2597255,2210264
ATL,MIA,596.1,17262,2318576,1973109
ATL,TPA,407.2,15617,2097692,1785136
ATL,BOS,945.1,14279,1917997,1632215
ATL,SEA,2177.8,13168,1768741,1505198
ATL,SFO,2134.4,12229,1642646,1397891
ATL,LHR,4201.1,6284,1422010,1210130
ATL,CDG,4384.0,5900,1335198,1136253
ATL,AMS,4390.4,5564,1259148,1071535
ATL,FRA,4603.5,5267,1191935,1014336
ATL,MEX,1332.1,9095,1221705,1039671
ATL,GRU,4666.9,4765,1078383,917704
ATL,NRT,6835.6,4551,1029945,876483
ATL,ICN,7138.3,4357,986005,839090
ATL,DXB,7586.4,4180,945950,805003
ATL,SJU,1548.0,7305,981270,835061
CLT,ATL,226.2,61122,6860294,5783228
CLT,ORD,599.1,33909,3805986,3208447
CLT,MCO,469.2,24024,2696433,2273093
CLT,LGA,543.7,18812,2111503,1779997
CLT,DFW,933.9,15562,1746700,1472468
CLT,DEN,1334.6,13328,1495940,1261077
CLT,LAX,2120.3,11691,1312228,1106208
CLT,BOS,727.5,10437,1171430,987515
CLT,PHL,448.4,9443,1059831,893437
CLT,FLL,633.3,8634,969042,816903
CLT,SFO,2290.9,7962,893632,753332
CLT,SEA,2274.3,7394,829925,699626
CLT,LHR,3982.9,3799,718451,605655
CLT,CDG,4164.0,3567,674591,568680
CLT,FRA,4386.2,3364,636168,536289
CLT,MUC,4567.7,3185,602209,507662
CLT,CUN,1043.5,5499,617250,520342
CLT,NAS,733.0,5239,587978,495665
MCO,ATL,404.5,52599,7355415,6296235
MCO,JFK,945.3,29181,4080672,3493055
MCO,EWR,938.4,20674,2891040,2474730
MCO,BOS,1122.0,16189,2263894,1937894
MCO,ORD,1006.3,13392,1872762,1603084
MCO,DFW,983.5,11470,1603905,1372943
MCO,PHL,862.7,10061,1406934,1204336
MCO,BWI,788.4,8982,1255974,1075114
MCO,DEN,1544.8,8126,1136321,972691
MCO,LAX,2213.6,7430,1038980,889367
MCO,SFO,2441.7,6852,958128,820157
MCO,SEA,2550.5,3500,824536,705803
MCO,LHR,4328.3,3270,770303,659380
MCO,FRA,4734.2,3070,723277,619125
MCO,AMS,4530.6,2895,682081,583862
MCO,GRU,4268.4,2741,645672,552695
MCO,EZE,4616.2,2603,613242,524935
MCO,BOG,1705.6,4508,630414,539634
MCO,SJU,1188.9,4306,602097,515395
MCO,SXM,1357.6,4122,576410,493407
MIA,ATL,596.1,47911,6832087,5800442
MIA,JFK,1091.7,26580,3790338,3217997
MIA,LGA,1098.5,18831,2685346,2279859
MIA,ORD,1198.9,14746,2102821,1785295
MIA,DFW,1120.1,12199,1739518,1476851
MIA,LAX,2338.1,10447,1489789,1264831
MIA,BOS,1260.0,9164,1306833,1109501
MIA,MCO,192.6,8181,1166613,990455
MIA,DEN,1707.9,7402,1055473,896097
MIA,SFO,2581.3,3722,894252,759220
MIA,LHR,4417.3,3433,824662,700138
MIA,MAD,4416.0,3188,765871,650225
MIA,FRA,4823.3,2978,715497,607457
MIA,CDG,4580.1,2796,671817,570373
MIA,GRU,4084.7,2637,633552,537886
MIA,EZE,4423.6,2496,599733,509173
MIA,BOG,1513.1,4311,614712,521891
MIA,LIM,2621.7,2258,542598,460666
MIA,PTY,1157.1,3922,559259,474811
MIA,SDQ,848.4,3755,535399,454554
MIA,KIN,587.5,3602,513650,436089
MIA,POS,1623.8,3462,493735,419181
MIA,DOH,7667.6,1834,440546,374024
FLL,ATL,582.1,32773,4492526,3854588
FLL,EWR,1066.3,18182,2492385,2138466
FLL,JFK,1070.8,12881,1765784,1515043
FLL,BOS,1239.0,10087,1382737,1186388
FLL,BWI,927.4,8344,1143842,981417
FLL,ORD,1183.7,7146,979630,840523
FLL,MCO,177.7,6269,859325,737301
FLL,DFW,1118.1,5596,767121,658190
FLL,LAX,2338.5,5063,694040,595486
FLL,DEN,1701.8,4629,634586,544475
FLL,SJU,1046.1,4269,585203,502105
FLL,NAS,182.0,3965,543484,466309
FLL,MBJ,542.2,3704,507737,435638
FLL,PUJ,913.8,3478,476740,409043
FLL,BOG,1529.2,3280,449586,385745
FLL,LIM,2640.1,1708,394362,338363
FLL,GRU,4095.1,1622,374555,321368
FLL,LHR,4397.5,1545,356792,306128
TPA,ATL,407.2,28553,3703845,3129749
TPA,MCO,81.0,15841,2054837,1736337
TPA,ORD,1013.4,11223,1455793,1230145
TPA,JFK,1006.4,8788,1139992,963293
TPA,BOS,1185.8,7270,943036,796865
TPA,DFW,927.7,6226,807652,682466
TPA,DEN,1505.1,5462,708467,598654
TPA,LAX,2154.0,4876,632450,534420
TPA,PHL,921.3,4411,572198,483508
TPA,BWI,843.8,4033,523182,442089
TPA,CUN,551.6,3719,482469,407686
TPA,LHR,4402.5,1900,415198,350842
TPA,KEF,3592.8,1775,387889,327766
RDU,ATL,355.5,19057,2209115,1853448
RDU,ORD,645.5,10573,1225583,1028264
RDU,LGA,430.4,7490,868291,728496
RDU,DFW,1059.2,5866,679935,570465
RDU,CLT,129.8,4852,562463,471906
RDU,MCO,535.3,4156,481715,404159
RDU,DEN,1433.1,3645,422557,354525
RDU,LAX,2233.5,3254,377218,316486
RDU,BOS,611.5,2944,341281,286335
RDU,SFO,2394.4,2692,312046,261806
RDU,LHR,3862.8,1365,266650,223719
RDU,CDG,4042.2,1268,247640,207770
BNA,ATL,213.9,27898,3413608,2904980
BNA,ORD,409.4,15477,1893817,1611639
BNA,DFW,630.3,10965,1341716,1141800
BNA,LGA,762.7,8587,1050661,894113
BNA,MCO,617.0,7103,869139,739637
BNA,DEN,1011.3,6083,744363,633453
BNA,LAX,1793.6,5336,652951,555661
BNA,BOS,940.7,4764,582891,496040
BNA,PHX,1445.5,4310,527360,448784
BNA,SFO,1964.1,3941,482185,410339
BNA,LHR,4171.4,1999,412037,350644
BNA,CUN,1042.7,3375,412961,351430
RSW,ATL,516.2,12848,1702077,1467191
RSW,EWR,1069.7,7128,944287,813975
RSW,BOS,1251.0,5050,669000,576678
RSW,ORD,1122.2,3954,523876,451581
RSW,PHL,994.6,3271,433366,373561
RSW,DTW,1087.2,2802,371151,319932
RSW,MSP,1418.3,2458,325571,280642
RSW,BWI,921.4,2194,290638,250530
RSW,DFW,1015.7,1985,262950,226663
RSW,YYZ,1190.4,1815,240425,207246
JAX,ATL,270.2,10753,1286023,1077687
JAX,CLT,329.0,5965,713466,597884
JAX,ORD,865.0,4226,505470,423584
JAX,DFW,916.8,3310,395820,331697
JAX,MCO,144.4,2738,327434,274390
JAX,PHL,742.7,2345,280427,234998
JAX,LGA,834.2,2057,245989,206139
JAX,DEN,1444.5,1836,219595,184021
SAV,ATL,214.4,5328,597966,504683
SAV,CLT,213.8,2956,331742,279990
SAV,ORD,773.7,2094,235030,198365
SAV,LGA,722.6,1640,184046,155334
SAV,DFW,923.5,1356,152248,128497
SAV,DCA,520.1,1162,130391,110050
SAV,PHL,630.0,1019,114378,96535
SAV,DEN,1411.3,910,102106,86177
SAV,BOS,901.1,823,92378,77967
ORD,LGA,731.4,81168,10529125,8823407
ORD,ATL,606.2,45031,5841398,4895091
ORD,DFW,801.6,31903,4138464,3468033
ORD,DEN,886.1,24982,3240718,2715722
ORD,LAX,1741.0,20666,2680821,2246528
ORD,SFO,1841.8,17699,2295957,1924012
ORD,BOS,864.3,15526,2013998,1687730
ORD,MCO,1006.3,13860,1797901,1506641
ORD,SEA,1716.1,12539,1626620,1363108
ORD,PHX,1437.3,11465,1487278,1246339
ORD,LHR,3942.4,5815,1270911,1065023
ORD,CDG,4141.3,5401,1180306,989097
ORD,FRA,4331.4,5045,1102674,924041
ORD,MUC,4517.4,4737,1035357,867629
ORD,AMS,4108.8,4468,976385,818211
ORD,DUB,3663.5,4229,924266,774535
ORD,NRT,6259.2,4017,877844,735633
ORD,HND,6291.1,3826,836214,700747
ORD,ICN,6537.3,3654,798653,669271
ORD,PVG,7042.7,3498,764581,640719
ORD,HKG,7781.4,3356,733521,614690
ORD,DEL,7470.7,3226,705082,590859
ORD,DOH,7120.2,3107,678938,568950
MDW,ATL,591.3,24444,3328269,2825701
MDW,DEN,893.3,13561,1846473,1567656
MDW,LAS,1517.3,9608,1308174,1110639
MDW,MCO,991.3,7523,1024395,869711
MDW,PHX,1441.4,6224,847411,719452
MDW,DAL,793.7,5330,725755,616166
MDW,BWI,609.3,4676,636627,540496
MDW,LAX,1747.1,4174,568319,482503
MDW,BOS,858.2,3776,514177,436536
MDW,CUN,1434.6,3453,470131,399141
DTW,ATL,595.4,37556,4560806,3812834
DTW,ORD,233.9,20836,2530266,2115302
DTW,LGA,500.4,14761,1792621,1498631
DTW,MCO,959.3,11559,1403753,1173537
DTW,DFW,985.8,9562,1161227,970786
DTW,DEN,1119.9,8189,994519,831418
DTW,LAX,1974.7,7184,872385,729314
DTW,BOS,630.5,6413,778781,651061
DTW,SEA,1921.7,5802,704588,589036
DTW,AMS,3929.3,2918,596964,499062
DTW,CDG,3951.3,2691,550509,460225
DTW,ICN,6620.9,2499,511263,427416
DTW,NRT,6381.9,2334,477635,399303
MSP,ORD,333.9,45909,5448516,4544062
MSP,ATL,907.0,25470,3022754,2520976
MSP,LGA,1017.8,18045,2141535,1786040
MSP,DEN,679.1,14130,1676978,1398599
MSP,DFW,852.9,11689,1387247,1156964
MSP,LAX,1533.2,10011,1188091,990868
MSP,SEA,1394.8,8781,1042185,869182
MSP,MCO,1311.5,7839,930362,775922
MSP,BOS,1120.9,7092,841729,702002
MSP,AMS,4153.8,3567,713156,594772
MSP,CDG,4209.6,3289,657659,548488
MSP,ICN,6233.2,3055,610774,509386
MSP,HND,5967.3,2854,570602,475882
STL,ATL,483.9,18214,2228677,1847573
STL,ORD,257.8,10105,1236436,1025006
STL,DFW,550.1,7159,875980,726187
STL,DEN,767.7,5606,685956,568657
STL,LAS,1368.2,4637,567444,470411
STL,MCO,882.2,3972,485980,402878
STL,LGA,885.9,3484,426299,353401
STL,LAX,1588.7,3110,380558,315482
STL,PHX,1259.4,2814,344303,285427
STL,CUN,1241.3,2573,314809,260977
MCI,ATL,691.7,16222,1940120,1616120
MCI,ORD,401.8,9000,1076349,896599
MCI,DFW,460.7,6376,762563,635215
MCI,DEN,531.5,4993,597142,497419
MCI,LAS,1136.8,4130,493974,411480
MCI,MCO,1072.5,3537,423058,352407
MCI,LGA,1104.5,3103,371104,309129
MCI,PHX,1042.0,2770,331285,275961
MCI,LAX,1360.6,2506,299725,249671
CLE,ATL,555.1,14492,1679922,1389296
CLE,ORD,314.9,8040,931995,770760
CLE,CLT,431.0,5696,660292,546062
CLE,DFW,1020.1,4460,517057,427606
CLE,DEN,1198.1,3690,427725,353729
CLE,MCO,897.4,3160,366320,302947
CLE,LGA,417.5,2772,321333,265743
CLE,PHL,362.2,2475,286855,237229
CLE,LAS,1820.2,2239,259527,214629
CVG,ATL,373.9,13234,1558489,1274844
CVG,ORD,264.2,7342,864626,707264
CVG,CLT,334.9,5202,612563,501077
CVG,DFW,810.7,4073,479681,392379
CVG,DEN,1066.6,3370,396807,324588
CVG,MCO,758.4,2886,339841,277990
CVG,LGA,583.9,2531,298106,243851
CVG,LAX,1895.8,2260,266120,217686
CVG,CDG,4144.4,1125,223102,182498
IND,ATL,432.4,14020,1599423,1329120
IND,ORD,177.3,7778,887335,737376
IND,CLT,427.4,5511,628652,522410
IND,DFW,760.4,4315,492280,409085
IND,DEN,974.1,3570,407229,338407
IND,MCO,830.0,3057,348766,289825
IND,LGA,658.6,2682,305936,254232
IND,PHX,1485.5,2394,273109,226954
IND,LAS,1586.2,2166,247091,205333
IND,CDG,4179.8,1089,209348,173969
DFW,ATL,730.0,86233,10948194,9218379
DFW,ORD,801.6,47841,6073891,5114216
DFW,LAX,1232.2,33894,4303179,3623277
DFW,DEN,640.8,26541,3369702,2837289
DFW,LGA,1386.4,21956,2787520,2347092
DFW,MCO,983.5,18804,2387338,2010139
DFW,SFO,1461.5,16495,2094157,1763280
DFW,LAS,1053.0,14725,1869459,1574085
DFW,PHX,865.9,13322,1691361,1424126
DFW,SEA,1657.7,12181,1546473,1302131
DFW,BOS,1559.0,11233,1426129,1200800
DFW,MIA,1120.1,10432,1324459,1115194
DFW,LHR,4739.6,5360,1146561,965404
DFW,CDG,4936.2,5033,1076565,906468
DFW,FRA,5130.8,4746,1015246,854837
DFW,MAD,4954.7,4493,961052,809206
DFW,NRT,6413.2,4267,912783,768563
DFW,ICN,6827.4,4065,869496,732115
DFW,HKG,8110.4,3882,830440,699231
DFW,SYD,8579.9,3717,795012,669400
DFW,DOH,7919.2,3566,762716,642207
DFW,MEX,938.7,6232,791194,666186
DFW,GRU,5122.6,3300,705960,594419
DAL,HOU,239.9,17878,2713864,2336637
DAL,ATL,719.6,9918,1505610,1296331
DAL,DEN,650.6,7027,1066682,918413
DAL,LAS,1064.6,5503,835290,719184
DAL,MCO,972.0,4552,690977,594931
DAL,PHX,877.2,3898,591779,509522
DAL,MDW,793.7,3420,519104,446949
DAL,LAX,1243.5,3053,463406,398993
DAL,BWI,1206.5,2762,419259,360982
DAL,SAT,248.1,2525,383343,330059
IAH,ATL,687.9,46110,5981394,5000445
IAH,ORD,925.4,25581,3318386,2774171
IAH,DFW,224.7,18124,2350982,1965421
IAH,LAX,1376.6,14192,1840990,1539068
IAH,DEN,861.7,11740,1522923,1273163
IAH,LGA,1414.4,10055,1304289,1090386
IAH,MCO,852.3,8820,1144113,956479
IAH,SFO,1632.8,7874,1021353,853851
IAH,LAS,1219.9,7123,924052,772507
IAH,SEA,1872.4,6513,844894,706332
IAH,LHR,4823.5,3304,721980,603575
IAH,CDG,5014.8,3068,670509,560546
IAH,FRA,5220.2,2866,626408,523677
IAH,AMS,5001.2,2691,588166,491707
IAH,MEX,765.8,4614,598584,500416
IAH,GRU,4912.3,2402,525058,438948
IAH,EZE,5078.9,2282,498686,416902
IAH,BOG,2227.7,3952,512650,428575
IAH,LIM,3145.9,2076,453700,379293
IAH,NRT,6628.9,1987,434344,363111
IAH,ICN,7050.6,1907,416699,348360
IAH,SYD,8597.6,1833,400543,334854
IAH,DOH,8035.6,1765,385692,322438
HOU,DAL,239.9,17063,2386141,2037765
HOU,ATL,694.9,9466,1323795,1130521
HOU,DEN,883.2,6707,937871,800942
HOU,LAS,1233.4,5252,734421,627196
HOU,MCO,847.6,4345,607536,518835
HOU,PHX,1018.2,3721,520317,444350
HOU,MDW,938.2,3264,456418,389781
HOU,LAX,1387.2,2914,407446,347959
HOU,CUN,792.5,2636,368629,314810
HOU,MEX,744.4,2410,337051,287842
AUS,DFW,190.3,25589,3272269,2807607
AUS,ATL,811.3,14196,1815405,1557617
AUS,DEN,775.6,10058,1286163,1103528
AUS,LAX,1239.4,7876,1007159,864142
AUS,ORD,977.8,6515,833153,714845
AUS,LGA,1518.0,5580,713544,612220
AUS,PHX,870.6,4895,625915,537035
AUS,SFO,1501.6,4369,558756,479413
AUS,SEA,1769.3,3953,505525,433741
AUS,LAS,1088.4,3614,462220,396585
AUS,LHR,4904.3,1833,394977,338890
AUS,CDG,5098.5,1703,366819,314730
AUS,CUN,922.3,2892,369826,317311
MSY,ATL,424.9,16477,2000988,1672826
MSY,DFW,447.2,9141,1110117,928058
MSY,ORD,838.1,6476,786487,657503
MSY,DEN,1061.2,5071,615876,514872
MSY,LGA,1182.6,4195,509471,425918
MSY,MCO,550.3,3593,436331,364773
MSY,LAX,1667.1,3152,382746,319976
MSY,PHX,1298.0,2814,341679,285643
MSY,CUN,653.7,2546,309128,258431
SAT,DFW,247.4,15414,1786811,1502708
SAT,ATL,872.9,8552,991295,833679
SAT,DEN,795.0,6059,702305,590638
SAT,ORD,1042.0,4744,549955,462513
SAT,LAX,1208.4,3925,454940,382604
SAT,PHX,841.4,3361,389628,327677
SAT,LAS,1067.4,2948,341779,287436
SAT,LGA,1583.8,2632,305107,256595
SAT,MEX,698.7,2381,276040,232150
DEN,ORD,886.1,83126,10783114,9133297
DEN,ATL,1197.0,46117,5982307,5067014
DEN,DFW,640.8,32673,4238294,3589835
DEN,LAX,860.6,25585,3318893,2811102
DEN,PHX,601.5,21165,2745489,2325429
DEN,LAS,627.0,18126,2351341,1991586
DEN,SFO,965.0,15900,2062580,1747005
DEN,SEA,1022.4,14194,1841271,1559556
DEN,MCO,1544.8,12842,1665858,1410982
DEN,LGA,1615.5,11742,1523155,1290113
DEN,BOS,1749.5,10828,1404625,1189717
DEN,MSP,679.1,10056,1304488,1104901
DEN,LHR,4658.7,5167,1129273,956494
DEN,CDG,4867.5,4852,1060332,898101
DEN,FRA,5026.0,4575,999938,846948
DEN,MUC,5211.6,4331,946561,801737
DEN,AMS,4799.0,4114,899020,761470
DEN,NRT,5773.9,3918,856385,725358
DEN,ICN,6189.7,3742,817919,692777
DEN,MEX,1449.6,6514,845023,715735
DEN,CUN,1670.8,6250,810696,686659
PHX,LAX,369.4,56267,7402500,6255113
PHX,DEN,601.5,31216,4106794,3470241
PHX,ORD,1437.3,22116,2909547,2458567
PHX,DFW,865.9,17318,2278387,1925237
PHX,ATL,1583.9,14326,1884751,1592614
PHX,LAS,255.6,12269,1614172,1363976
PHX,SFO,650.3,10763,1415941,1196470
PHX,SEA,1107.3,9608,1264014,1068092
PHX,MCO,1845.3,8693,1143595,966338
PHX,LGA,2144.0,7948,1045631,883558
PHX,LHR,5258.9,4031,893514,755019
PHX,CUN,1758.7,6807,895518,756713
PHX,SJD,723.9,6359,836617,706941
LAS,LAX,236.3,54057,7857736,6749795
LAS,DEN,627.0,29990,4359352,3744683
LAS,PHX,255.6,21247,3088477,2653002
LAS,ORD,1510.8,16638,2418502,2077493
LAS,DFW,1053.0,13763,2000658,1718565
LAS,ATL,1742.9,11788,1713440,1471845
LAS,SFO,413.2,10340,1503018,1291092
LAS,SEA,866.7,9231,1341748,1152561
LAS,MCO,2035.8,8351,1213923,1042760
LAS,LGA,2236.8,7636,1109935,953434
LAS,BOS,2375.0,7042,1023561,879239
LAS,LHR,5216.5,3597,880846,756647
LAS,ICN,6008.3,3360,822910,706879
LAS,NRT,5499.4,3155,772672,663725
LAS,CUN,1994.9,5410,786357,675481
LAS,YVR,992.3,5121,744381,639423
SLC,DEN,390.1,35360,4294134,3611367
SLC,LAX,590.0,19617,2382320,2003531
SLC,SFO,597.8,13898,1687806,1419445
